id,predicted
0,30
1,13
2,74
3,16
4,14
5,5
6,3
7,14
8,14
9,19
10,128
11,7
12,27
13,12
14,23
15,28
16,14
17,23
18,4
19,51
20,13
21,48
22,18
23,26
24,4
25,26
26,46
27,15
28,16
29,31
30,24
31,14
32,37
33,17
34,18
35,22
36,26
37,11
38,84
39,24
40,23
41,52
42,13
43,14
44,24
45,6
46,36
47,17
48,6
49,25
50,29
51,37
52,15
53,43
54,13
55,17
56,19
57,65
58,30
59,3
60,14
61,6
62,19
63,25
64,911
65,42
66,31
67,46
68,26
69,21
70,69
71,4
72,21
73,31
74,5
75,11
76,23
77,27
78,10
79,39
80,14
81,11
82,24
83,23
84,18
85,26
86,32
87,18
88,24
89,15
90,43
91,18
92,17
93,17
94,40
95,13
96,5
97,26
98,15
99,11
100,60
101,65
102,4
103,15
104,17
105,12
106,11
107,22
108,63
109,151
110,59
111,28
112,137
113,7
114,31
115,15
116,28
117,26
118,19
119,21
120,34
121,50
122,30
123,61
124,29
125,24
126,25
127,11
128,24
129,15
130,18
131,28
132,71
133,9
134,17
135,13
136,10
137,23
138,17
139,18
140,12
141,14
142,25
143,8
144,20
145,123
146,84
147,25
148,9
149,13
150,15
151,13
152,7
153,14
154,8
155,19
156,16
157,31
158,25
159,18
160,24
161,3
162,47
163,14
164,46
165,8
166,17
167,26
168,12
169,18
170,27
171,15
172,32
173,12
174,13
175,28
176,105
177,8
178,23
179,4
180,6
181,11
182,15
183,34
184,14
185,29
186,44
187,28
188,27
189,18
190,35
191,12
192,4
193,15
194,26
195,19
196,38
197,29
198,42
199,22
200,15
201,3
202,13
203,70
204,35
205,11
206,29
207,45
208,14
209,25
210,8
211,17
212,5
213,10
214,13
215,18
216,11
217,11
218,8
219,100
220,21
221,42
222,31
223,40
224,7
225,25
226,31
227,32
228,4
229,14
230,71
231,20
232,22
233,21
234,26
235,32
236,18
237,36
238,87
239,76
240,25
241,77
242,16
243,25
244,33
245,14
246,15
247,21
248,16
249,149
250,20
251,16
252,30
253,14
254,26
255,16
256,35
257,14
258,21
259,15
260,11
261,30
262,58
263,17
264,21
265,3
266,85
267,26
268,18
269,19
270,33
271,16
272,146
273,8
274,19
275,18
276,29
277,8
278,144
279,93
280,66
281,26
282,8
283,14
284,12
285,52
286,11
287,14
288,13
289,16
290,16
291,36
292,22
293,24
294,32
295,9
296,40
297,136
298,10
299,15
300,14
301,3
302,10
303,13
304,41
305,21
306,18
307,51
308,83
309,13
310,33
311,67
312,15
313,40
314,10
315,48
316,74
317,5
318,5
319,23
320,6
321,23
322,73
323,24
324,19
325,28
326,26
327,13
328,33
329,59
330,27
331,49
332,30
333,16
334,14
335,20
336,26
337,21
338,27
339,14
340,16
341,14
342,54
343,91
344,33
345,22
346,33
347,32
348,33
349,12
350,15
351,5
352,14
353,33
354,17
355,14
356,17
357,41
358,73
359,54
360,19
361,19
362,9
363,86
364,23
365,21
366,31
367,147
368,18
