id,predicted
0,17
1,4
2,28
3,12
4,28
5,48
6,68
7,42
8,16
9,51
10,18
11,9
12,26
13,24
14,15
15,5
16,14
17,36
18,9
19,13
20,24
21,28
22,15
23,25
24,89
25,54
26,35
27,9
28,30
29,14
30,9
31,7
32,38
33,4
34,61
35,26
36,68
37,4
38,14
39,55
40,9
41,28
42,75
43,38
44,14
45,27
46,80
47,19
48,36
49,18
50,74
51,50
52,29
53,146
54,14
55,106
56,43
57,5
58,23
59,9
60,27
61,12
62,56
63,45
64,18
65,227
66,103
67,11
68,39
69,40
70,20
71,88
72,725
73,8
74,27
75,33
76,5
77,6
78,24
79,28
80,22
81,28
82,63
83,4
84,17
85,15
86,67
87,58
88,40
89,32
90,24
91,325
92,9
93,41
94,70
95,61
96,13
97,38
98,22
99,6
100,8
101,29
102,28
103,5
104,112
105,56
106,23
107,7
108,10
109,21
110,67
111,7
112,31
113,22
114,77
115,9
116,7
117,8
118,17
119,12
120,35
121,28
122,23
123,40
124,5
125,9
126,51
127,12
128,24
129,59
130,19
131,13
132,31
133,94
134,32
135,5
136,16
137,25
138,16
139,20
140,32
141,26
142,25
143,6
144,9
145,34
146,33
147,8
148,7
149,58
150,5
151,187
152,37
153,26
154,114
155,12
156,17
157,36
158,13
159,23
160,67
161,22
162,12
163,231
164,19
165,48
166,23
167,22
168,60
169,4
170,43
171,345
172,101
173,159
174,9
175,40
176,6
177,14
178,72
179,4
180,13
181,60
182,332
183,13
184,19
185,130
186,20
187,9
188,45
189,39
190,19
191,50
192,10
193,9
194,152
195,40
196,16
197,23
198,13
199,13
200,31
201,28
202,8
203,35
204,4
205,24
206,8
207,52
208,301
209,52
210,15
211,16
212,39
213,35
214,25
215,13
216,225
217,76
218,7
219,12
220,32
221,22
222,44
223,9
224,25
225,15
226,26
227,9
228,6
229,4
230,9
231,21
232,47
233,29
234,8
235,6
236,10
237,26
238,75
239,49
240,9
241,21
242,10
243,13
244,33
245,20
246,51
247,14
248,16
249,194
250,7
251,14
252,45
253,56
254,177
255,62
256,55
257,100
258,10
259,31
260,14
261,21
262,188
263,20
264,9
265,35
266,36
267,41
268,13
269,24
270,62
271,7
272,71
273,41
274,28
275,36
276,23
277,36
278,21
279,35
280,25
281,31
282,34
283,39
284,31
285,23
286,34
287,9
288,31
289,102
290,27
291,640
292,20
293,14
294,48
295,73
296,19
297,50
298,4
299,21
300,124
301,31
302,85
303,6
304,40
305,20
306,56
307,15
308,14
309,111
310,526
311,26
312,21
313,10
314,59
315,22
316,6
317,36
318,6
319,28
320,6
321,7
322,7
323,58
324,35
325,9
326,75
327,35
328,39
329,43
330,37
331,15
332,74
333,7
334,22
335,28
336,46
337,28
